epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4867,1.92336,3.87453,1.59641,0.00575,0.01754,0.00061,6e-05,1.47425,3.84538,1.12894,1.429e-05,1.429e-05,1.429e-05
2,30.0008,1.87393,3.801,1.59177,0,0,0,0,1.41825,3.83454,1.1153,4.27285e-05,4.27285e-05,4.27285e-05
3,45.4619,1.93089,3.79858,1.44348,0.04167,0.01754,0.00262,0.00183,1.38574,3.823,1.11489,7.09784e-05,7.09784e-05,7.09784e-05
4,60.1368,1.70708,3.66278,1.35335,0.16809,0.12865,0.00969,0.00647,1.39414,3.77979,1.11762,9.90397e-05,9.90397e-05,9.90397e-05
5,74.6773,1.77979,3.44678,1.35088,0.00743,0.17778,0.00235,0.00052,1.50253,3.7603,1.1496,0.000126912,0.000126912,0.000126912
6,88.5539,1.65606,3.42258,1.22815,0.0098,0.06667,0.00433,0.00043,1.4298,3.70785,1.10934,0.000154596,0.000154596,0.000154596
7,103.945,1.61722,3.31159,1.26072,0,0,0,0,1.51462,3.7261,1.14927,0.000182092,0.000182092,0.000182092
8,118.515,1.62042,3.0938,1.24983,0,0,0,0,1.52559,3.7206,1.17285,0.000209399,0.000209399,0.000209399
9,133.204,1.73099,2.99863,1.25383,0,0,0,0,1.51867,3.71007,1.16328,0.000236517,0.000236517,0.000236517
10,147.525,1.62706,2.8643,1.23796,0.00133,0.11111,0.00054,0.00016,1.4822,3.68825,1.14091,0.000263446,0.000263446,0.000263446
11,161.718,1.62319,2.55407,1.26054,0.00136,0.11111,0.00248,0.00124,1.46265,3.625,1.1196,0.000290187,0.000290187,0.000290187
12,176.312,1.64852,2.81206,1.25266,0.00778,0.17778,0.01259,0.00756,1.47021,3.53445,1.1112,0.000316739,0.000316739,0.000316739
13,190.288,1.61573,2.39198,1.18505,0.03598,0.19532,0.01487,0.00995,1.46658,3.44953,1.07608,0.000343103,0.000343103,0.000343103
